Country,Year,AverageTemperature,
Afghanistan,2013,16.533625,
Albania,2013,14.993875,
Algeria,2013,25.1215,
Angola,2013,22.507875,
Antigua And Barbuda,2013,27.249625,
Argentina,2013,14.457125,
Armenia,2013,11.34375,
Australia,2013,22.142875,
Austria,2013,8.055125,
Azerbaijan,2013,14.173875,
Bahrain,2013,27.925375,
Bangladesh,2013,25.9675,
Barbados,2013,27.251125,
Belarus,2013,8.2665,
Belgium,2013,10.060125,
Belize,2013,26.21333333,
Benin,2013,28.160625,
Bhutan,2013,13.331375,
Bosnia And Herzegovina,2013,12.8795,
Botswana,2013,21.82575,
Brazil,2013,25.348125,
Burkina Faso,2013,29.3855,
Burundi,2013,20.86275,
Cambodia,2013,28.259625,
Cameroon,2013,25.307625,
Canada,2013,-1.640666667,
Central African Republic,2013,26.210875,
Chad,2013,28.356,
Chile,2013,9.877375,
China,2013,9.295,
Colombia,2013,25.5795,
Comoros,2013,26.542875,
Congo,2013,24.560375,
Costa Rica,2013,26.45755556,
Croatia,2013,13.589,
Cuba,2013,26.25044444,
Cyprus,2013,20.349875,
Czech Republic,2013,9.281,
Denmark ,2013,8.516375,
Djibouti,2013,30.74475,
Dominica,2013,26.922125,
Dominican Republic,2013,26.29033333,
Ecuador,2013,22.264125,
Egypt,2013,24.50525,
El Salvador,2013,25.91077778,
Equatorial Guinea,2013,25.5905,
Eritrea,2013,28.5035,
Estonia,2013,6.96175,
Ethiopia,2013,24.6315,
Fiji,2013,25.941375,
Finland,2013,4.064125,
France,2013,13.584625,
Gabon,2013,24.8385,
Gambia,2013,28.724375,
Georgia,2013,10.686625,
Germany,2013,9.23525,
Ghana,2013,27.7175,
Greece,2013,17.1535,
Grenada,2013,27.612875,
Guinea,2013,26.68675,
Guinea Bissau,2013,27.90675,
Guyana,2013,26.6875,
Haiti,2013,27.03155556,
Honduras,2013,25.73233333,
Hungary,2013,12.3015,
Iceland,2013,2.92025,
India,2013,25.41325,
Indonesia,2013,26.467,
Iraq,2013,24.2405,
Ireland,2013,9.97475,
Israel,2013,21.222375,
Italy,2013,14.165,
Jamaica,2013,27.12533333,
Japan,2013,12.96475,
Jordan,2013,21.319125,
Kazakhstan,2013,8.93725,
Kenya,2013,24.93525,
Kiribati,2013,27.551375,
Kuwait,2013,27.273375,
Kyrgyzstan,2013,6.263125,
Latvia,2013,7.322375,
Lesotho,2013,13.773625,
Liberia,2013,26.314,
Lithuania,2013,7.804,
Luxembourg,2013,9.90025,
Madagascar,2013,22.9595,
Malawi,2013,21.269375,
Malaysia,2013,26.9735,
Mali,2013,29.942,
Malta,2013,19.437375,
Mauritania,2013,29.11,
Mauritius,2013,24.312375,
Mexico,2013,22.21922222,
Mongolia,2013,2.80775,
Montenegro,2013,12.870375,
Morocco,2013,19.30525,
Mozambique,2013,23.488,
Namibia,2013,15.95125,
Nepal,2013,15.95125,
Netherlands,2013,9.8565,
New Zealand,2013,11.0885,
Nicaragua,2013,26.87155556,
Niger,2013,29.231375,
Nigeria,2013,28.005875,
Norway,2013,1.735375,
Oman,2013,28.194375,
Pakistan,2013,22.320875,
Panama,2013,27.2175,
Papua New Guinea,2013,25.069125,a
Paraguay,2013,22.81775,
Peru,2013,19.97625,
Philippines,2013,27.41675,
Poland,2013,9.257875,
Portugal,2013,15.88925,
Qatar,2013,28.57375,
Romania,2013,11.6455,
Rwanda,2013,20.103875,
Saint Kitts And Nevis,2013,26.66575,
Saint Vincent And The Grenadines,2013,27.636375,
Samoa,2013,27.1765,
Sao Tome And Principe,2013,26.5325,
Saudi Arabia,2013,27.74075,
Senegal,2013,29.3015,
Serbia,2013,12.843625,
Seychelles,2013,27.451625,
Sierra Leone,2013,26.948,
Singapore,2013,27.602875,
Slovakia,2013,9.685625,
Slovenia,2013,11.74475,
Solomon Islands,2013,27.21025,
Somalia,2013,27.975625,
South Africa,2013,17.325375,
Spain,2013,14.858875,
Sri Lanka,2013,28.175125,
Sudan,2013,28.572,
Suriname,2013,26.95725,
Sweden,2013,4.19975,
Switzerland,2013,8.1775,
Tajikistan,2013,6.562625,
Thailand,2013,27.864875,
Togo,2013,27.718,
Tonga,2013,24.285875,
Trinidad And Tobago,2013,27.086625,
Tunisia,2013,21.887125,
Turkey,2013,14.026625,
Turkmenistan,2013,18.6135,
Uganda,2013,24.024625,
Ukraine,2013,10.9135,
United Arab Emirates,2013,29.370625,
United Kingdom ,2013,9.10825,
United States,2013,11.29711111,
Uruguay,2013,16.754375,
Uzbekistan,2013,16.18825,
Yemen,2013,28.12975,
Zambia,2013,21.196,
Zimbabwe,2013,20.71075,